Indicateurs: Clé,Date,MIlieu,Sexe,Secteur d''activité: Nom,Régions: Nom,Faits: Valeur
28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Gouvernorat de Bizerte,18244
28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Gouvernorat de Bizerte,13328
28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Gouvernorat de Bizerte,10925
28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Gouvernorat de Bizerte,5092
28001579,2014-01-01 00:00:00,Communal,Masculin,"Education, Santé et services administratifs",Gouvernorat de Bizerte,19405
28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Gouvernorat de Bizerte,5414
28001579,2014-01-01 00:00:00,Communal,Masculin,Non Declaré,Gouvernorat de Bizerte,151
28001579,2014-01-01 00:00:00,Communal,Féminin,Population occupée agée de 15 ans et plus,Gouvernorat de Bizerte,35543
28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Gouvernorat de Bizerte,295
28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Gouvernorat de Bizerte,148
28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Gouvernorat de Bizerte,17450
28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Gouvernorat de Bizerte,314
28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Gouvernorat de Bizerte,2537
28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Gouvernorat de Bizerte,282
28001579,2014-01-01 00:00:00,Communal,Féminin,"Education, Santé et services administratifs",Gouvernorat de Bizerte,12005
28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Gouvernorat de Bizerte,2409
28001579,2014-01-01 00:00:00,Communal,Féminin,Non Declaré,Gouvernorat de Bizerte,103
28001579,2014-01-01 00:00:00,Rural,Masculin,Population occupée agée de 15 ans et plus,Gouvernorat de Bizerte,45611
28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Gouvernorat de Bizerte,16769
28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Gouvernorat de Bizerte,538
28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Gouvernorat de Bizerte,6271
28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Gouvernorat de Bizerte,10689
28001579,2014-01-01 00:00:00,Rural,Masculin,Commerce,Gouvernorat de Bizerte,3382
28001579,2014-01-01 00:00:00,Rural,Masculin,Transport,Gouvernorat de Bizerte,1856
28001579,2014-01-01 00:00:00,Rural,Masculin,"Education, Santé et services administratifs",Gouvernorat de Bizerte,4742
28001579,2014-01-01 00:00:00,Rural,Masculin,Autres services,Gouvernorat de Bizerte,1313
28001579,2014-01-01 00:00:00,Rural,Masculin,Non Declaré,Gouvernorat de Bizerte,51
28001579,2014-01-01 00:00:00,Rural,Féminin,Population occupée agée de 15 ans et plus,Gouvernorat de Bizerte,10444
28001579,2014-01-01 00:00:00,Rural,Féminin,Agriculture et peche,Gouvernorat de Bizerte,1649
28001579,2014-01-01 00:00:00,Rural,Féminin,Mines  et énergie,Gouvernorat de Bizerte,28
28001579,2014-01-01 00:00:00,Rural,Féminin,Industrie manufacturière,Gouvernorat de Bizerte,6325
28001579,2014-01-01 00:00:00,Rural,Féminin,Batiment et travaux publiques,Gouvernorat de Bizerte,193
28001579,2014-01-01 00:00:00,Rural,Féminin,Commerce,Gouvernorat de Bizerte,462
28001579,2014-01-01 00:00:00,Rural,Féminin,Transport,Gouvernorat de Bizerte,40
28001579,2014-01-01 00:00:00,Rural,Féminin,"Education, Santé et services administratifs",Gouvernorat de Bizerte,1341
28001579,2014-01-01 00:00:00,Rural,Féminin,Autres services,Gouvernorat de Bizerte,385
28001579,2014-01-01 00:00:00,Rural,Féminin,Non Declaré,Gouvernorat de Bizerte,21
28001579,2014-01-01 00:00:00,Communal,Masculin,Population occupée agée de 15 ans et plus,Gouvernorat de Sfax,140930
28001579,2014-01-01 00:00:00,Communal,Masculin,Agriculture et peche,Gouvernorat de Sfax,6278
28001579,2014-01-01 00:00:00,Communal,Masculin,Mines  et énergie,Gouvernorat de Sfax,3572
28001579,2014-01-01 00:00:00,Communal,Masculin,Industrie manufacturière,Gouvernorat de Sfax,31366
28001579,2014-01-01 00:00:00,Communal,Masculin,Batiment et travaux publiques,Gouvernorat de Sfax,19806
28001579,2014-01-01 00:00:00,Communal,Masculin,Commerce,Gouvernorat de Sfax,24602
28001579,2014-01-01 00:00:00,Communal,Masculin,Transport,Gouvernorat de Sfax,10319
28001579,2014-01-01 00:00:00,Communal,Masculin,"Education, Santé et services administratifs",Gouvernorat de Sfax,27114
28001579,2014-01-01 00:00:00,Communal,Masculin,Autres services,Gouvernorat de Sfax,17723
28001579,2014-01-01 00:00:00,Communal,Masculin,Non Declaré,Gouvernorat de Sfax,150
28001579,2014-01-01 00:00:00,Communal,Féminin,Population occupée agée de 15 ans et plus,Gouvernorat de Sfax,53913
28001579,2014-01-01 00:00:00,Communal,Féminin,Agriculture et peche,Gouvernorat de Sfax,334
28001579,2014-01-01 00:00:00,Communal,Féminin,Mines  et énergie,Gouvernorat de Sfax,392
28001579,2014-01-01 00:00:00,Communal,Féminin,Industrie manufacturière,Gouvernorat de Sfax,15962
28001579,2014-01-01 00:00:00,Communal,Féminin,Batiment et travaux publiques,Gouvernorat de Sfax,487
28001579,2014-01-01 00:00:00,Communal,Féminin,Commerce,Gouvernorat de Sfax,5628
28001579,2014-01-01 00:00:00,Communal,Féminin,Transport,Gouvernorat de Sfax,459
28001579,2014-01-01 00:00:00,Communal,Féminin,"Education, Santé et services administratifs",Gouvernorat de Sfax,22498
28001579,2014-01-01 00:00:00,Communal,Féminin,Autres services,Gouvernorat de Sfax,8051
28001579,2014-01-01 00:00:00,Communal,Féminin,Non Declaré,Gouvernorat de Sfax,102
28001579,2014-01-01 00:00:00,Rural,Masculin,Population occupée agée de 15 ans et plus,Gouvernorat de Sfax,77479
28001579,2014-01-01 00:00:00,Rural,Masculin,Agriculture et peche,Gouvernorat de Sfax,13634
28001579,2014-01-01 00:00:00,Rural,Masculin,Mines  et énergie,Gouvernorat de Sfax,1116
28001579,2014-01-01 00:00:00,Rural,Masculin,Industrie manufacturière,Gouvernorat de Sfax,12559
28001579,2014-01-01 00:00:00,Rural,Masculin,Batiment et travaux publiques,Gouvernorat de Sfax,22938
