Indicateurs: Clé,Date,Milieu,Sexe,trancheAge,Regions,FaitsValeur
28007659,2014-01-01 00:00:00,Communal,Masculin,50-59 ans,Gouvernorat de Bizerte,402
28007659,2014-01-01 00:00:00,Communal,Masculin,60+ ans,Gouvernorat de Bizerte,117
28007659,2014-01-01 00:00:00,Communal,Féminin,15-19 ans,Gouvernorat de Bizerte,394
28007659,2014-01-01 00:00:00,Communal,Féminin,20-24 ans,Gouvernorat de Bizerte,1622
28007659,2014-01-01 00:00:00,Communal,Féminin,25-29 ans,Gouvernorat de Bizerte,2783
28007659,2014-01-01 00:00:00,Communal,Féminin,30-34 ans,Gouvernorat de Bizerte,1588
28007659,2014-01-01 00:00:00,Communal,Féminin,35-39 ans,Gouvernorat de Bizerte,802
28007659,2014-01-01 00:00:00,Communal,Féminin,40-44 ans,Gouvernorat de Bizerte,342
28007659,2014-01-01 00:00:00,Communal,Féminin,45-49 ans,Gouvernorat de Bizerte,198
28007659,2014-01-01 00:00:00,Communal,Féminin,50-59 ans,Gouvernorat de Bizerte,177
28007659,2014-01-01 00:00:00,Communal,Féminin,60+ ans,Gouvernorat de Bizerte,38
28007659,2014-01-01 00:00:00,Rural,Masculin,15-19 ans,Gouvernorat de Bizerte,820
28007659,2014-01-01 00:00:00,Rural,Masculin,20-24 ans,Gouvernorat de Bizerte,1353
28007659,2014-01-01 00:00:00,Rural,Masculin,25-29 ans,Gouvernorat de Bizerte,1142
28007659,2014-01-01 00:00:00,Rural,Masculin,30-34 ans,Gouvernorat de Bizerte,721
28007659,2014-01-01 00:00:00,Rural,Masculin,35-39 ans,Gouvernorat de Bizerte,438
28007659,2014-01-01 00:00:00,Rural,Masculin,40-44 ans,Gouvernorat de Bizerte,296
28007659,2014-01-01 00:00:00,Rural,Masculin,45-49 ans,Gouvernorat de Bizerte,259
28007659,2014-01-01 00:00:00,Rural,Masculin,50-59 ans,Gouvernorat de Bizerte,396
28007659,2014-01-01 00:00:00,Rural,Masculin,60+ ans,Gouvernorat de Bizerte,115
28007659,2014-01-01 00:00:00,Rural,Féminin,15-19 ans,Gouvernorat de Bizerte,354
28007659,2014-01-01 00:00:00,Rural,Féminin,20-24 ans,Gouvernorat de Bizerte,660
28007659,2014-01-01 00:00:00,Rural,Féminin,25-29 ans,Gouvernorat de Bizerte,753
28007659,2014-01-01 00:00:00,Rural,Féminin,30-34 ans,Gouvernorat de Bizerte,355
28007659,2014-01-01 00:00:00,Rural,Féminin,35-39 ans,Gouvernorat de Bizerte,170
28007659,2014-01-01 00:00:00,Rural,Féminin,40-44 ans,Gouvernorat de Bizerte,89
28007659,2014-01-01 00:00:00,Rural,Féminin,45-49 ans,Gouvernorat de Bizerte,62
28007659,2014-01-01 00:00:00,Rural,Féminin,50-59 ans,Gouvernorat de Bizerte,55
28007659,2014-01-01 00:00:00,Rural,Féminin,60+ ans,Gouvernorat de Bizerte,23
28007659,2014-01-01 00:00:00,Communal,Masculin,15-19 ans,Gouvernorat de Sfax,934
28007659,2014-01-01 00:00:00,Communal,Masculin,20-24 ans,Gouvernorat de Sfax,2504
28007659,2014-01-01 00:00:00,Communal,Masculin,25-29 ans,Gouvernorat de Sfax,3111
28007659,2014-01-01 00:00:00,Communal,Masculin,30-34 ans,Gouvernorat de Sfax,1515
28007659,2014-01-01 00:00:00,Communal,Masculin,35-39 ans,Gouvernorat de Sfax,646
28007659,2014-01-01 00:00:00,Communal,Masculin,40-44 ans,Gouvernorat de Sfax,381
28007659,2014-01-01 00:00:00,Communal,Masculin,45-49 ans,Gouvernorat de Sfax,297
28007659,2014-01-01 00:00:00,Communal,Masculin,50-59 ans,Gouvernorat de Sfax,431
28007659,2014-01-01 00:00:00,Communal,Masculin,60+ ans,Gouvernorat de Sfax,173
28007659,2014-01-01 00:00:00,Communal,Féminin,15-19 ans,Gouvernorat de Sfax,543
28007659,2014-01-01 00:00:00,Communal,Féminin,20-24 ans,Gouvernorat de Sfax,2188
28007659,2014-01-01 00:00:00,Communal,Féminin,25-29 ans,Gouvernorat de Sfax,4129
28007659,2014-01-01 00:00:00,Communal,Féminin,30-34 ans,Gouvernorat de Sfax,2656
28007659,2014-01-01 00:00:00,Communal,Féminin,35-39 ans,Gouvernorat de Sfax,1159
28007659,2014-01-01 00:00:00,Communal,Féminin,40-44 ans,Gouvernorat de Sfax,431
28007659,2014-01-01 00:00:00,Communal,Féminin,45-49 ans,Gouvernorat de Sfax,268
28007659,2014-01-01 00:00:00,Communal,Féminin,50-59 ans,Gouvernorat de Sfax,257
28007659,2014-01-01 00:00:00,Communal,Féminin,60+ ans,Gouvernorat de Sfax,59
28007659,2014-01-01 00:00:00,Rural,Masculin,15-19 ans,Gouvernorat de Sfax,1481
28007659,2014-01-01 00:00:00,Rural,Masculin,20-24 ans,Gouvernorat de Sfax,2378
28007659,2014-01-01 00:00:00,Rural,Masculin,25-29 ans,Gouvernorat de Sfax,2350
28007659,2014-01-01 00:00:00,Rural,Masculin,30-34 ans,Gouvernorat de Sfax,1417
28007659,2014-01-01 00:00:00,Rural,Masculin,35-39 ans,Gouvernorat de Sfax,897
28007659,2014-01-01 00:00:00,Rural,Masculin,40-44 ans,Gouvernorat de Sfax,541
28007659,2014-01-01 00:00:00,Rural,Masculin,45-49 ans,Gouvernorat de Sfax,503
28007659,2014-01-01 00:00:00,Rural,Masculin,50-59 ans,Gouvernorat de Sfax,822
28007659,2014-01-01 00:00:00,Rural,Masculin,60+ ans,Gouvernorat de Sfax,259
28007659,2014-01-01 00:00:00,Rural,Féminin,15-19 ans,Gouvernorat de Sfax,860
28007659,2014-01-01 00:00:00,Rural,Féminin,20-24 ans,Gouvernorat de Sfax,1530
28007659,2014-01-01 00:00:00,Rural,Féminin,25-29 ans,Gouvernorat de Sfax,1963
28007659,2014-01-01 00:00:00,Rural,Féminin,30-34 ans,Gouvernorat de Sfax,1157
28007659,2014-01-01 00:00:00,Rural,Féminin,35-39 ans,Gouvernorat de Sfax,585
28007659,2014-01-01 00:00:00,Rural,Féminin,40-44 ans,Gouvernorat de Sfax,295
