Indicateur: Clé,Date,Milieu,Sexe,Niveau d''instruction,Régions,population
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Mahdia,9372
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Mahdia,37342
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Mahdia,27986
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Mahdia,4187
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Mahdia,32171
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Mahdia,21964
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Mahdia,3890
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Sfax,80783
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Sfax,110943
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Sfax,42598
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Sfax,73794
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Sfax,96811
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Sfax,41001
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Sfax,64182
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Sfax,47112
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Sfax,8190
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Sfax,50079
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Sfax,34732
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Sfax,7411
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Kairouan,26100
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Kairouan,34138
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Kairouan,9868
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Kairouan,23173
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Kairouan,28724
27989679,2014-01-01 00:00:00,Communal,Féminin,Supérieur,Gouvernorat de Kairouan,10307
27989679,2014-01-01 00:00:00,Rural,Masculin,Primaire,Gouvernorat de Kairouan,58191
27989679,2014-01-01 00:00:00,Rural,Masculin,Secondaire,Gouvernorat de Kairouan,34494
27989679,2014-01-01 00:00:00,Rural,Masculin,Supérieur,Gouvernorat de Kairouan,3952
27989679,2014-01-01 00:00:00,Rural,Féminin,Primaire,Gouvernorat de Kairouan,40557
27989679,2014-01-01 00:00:00,Rural,Féminin,Secondaire,Gouvernorat de Kairouan,26347
27989679,2014-01-01 00:00:00,Rural,Féminin,Supérieur,Gouvernorat de Kairouan,3548
27989679,2014-01-01 00:00:00,Communal,Masculin,Primaire,Gouvernorat de Kasserine,23244
27989679,2014-01-01 00:00:00,Communal,Masculin,Secondaire,Gouvernorat de Kasserine,33188
27989679,2014-01-01 00:00:00,Communal,Masculin,Supérieur,Gouvernorat de Kasserine,8990
27989679,2014-01-01 00:00:00,Communal,Féminin,Primaire,Gouvernorat de Kasserine,20127
27989679,2014-01-01 00:00:00,Communal,Féminin,Secondaire,Gouvernorat de Kasserine,26448
